label,checksum_match,chunk_size_bytes,file_size_bytes,receiver_bulk_seconds,receiver_handshake_seconds,receiver_hmac_verify_seconds,receiver_peak_rss_kb,receiver_total_seconds,sender_ack_wait_seconds,sender_bulk_seconds,sender_handshake_seconds,sender_peak_rss_kb,sender_total_seconds,throughput_mb_s,total_chunks
16KB,True,16384,10485760,0.2677307929999415,0.026343868999902043,0.02879365199999029,26308,0.3554026499999736,0.10534160999998221,0.17712045400003262,0.006772771999976612,26020,0.35168432099999336,56.458753205308284,640
32KB,True,32768,10485760,0.21623514700002033,0.02846836500009431,0.028417922000016915,26180,0.3039265230000865,0.09820065200005956,0.12935577999996895,0.006681010999955106,26040,0.30006265800000165,77.30617062494154,320
64KB,True,65536,10485760,0.3025825199999872,0.022557181000024684,0.028815932999918914,26448,0.3880304309999474,0.10761529300009443,0.20541289899995263,0.008293068000057247,26296,0.3844025310000916,48.682434495032886,160
128KB,True,131072,10485760,0.3068816869999864,0.02204159999996591,0.03350981200003389,26584,0.3959602070000301,0.14845631600007891,0.16772425799990742,0.007806199000015113,26628,0.3905437720000009,59.621667844883355,80
256KB,True,262144,10485760,0.2807030299999269,0.026039156000024377,0.028388616000029288,27124,0.3659798190000174,0.12303139499999816,0.16467606800006251,0.006015315000013288,27108,0.3637172500000361,60.725277943824864,40
512KB,True,524288,10485760,0.4069340149999334,0.022235496000007515,0.029253438000068854,28028,0.4922186989999773,0.14525855600004434,0.26989609499992184,0.007975667999971847,28884,0.48682637000001705,37.05129561064192,20
1024KB,True,1048576,10485760,0.5680906039999627,0.026634809999904974,0.028988961999971252,31028,0.652435913999966,0.2258972790000371,0.3525006949998897,0.009222698000030505,30904,0.6522253800000044,28.368738393560132,10
